ID,TITLE,ARTIST,TOPGENRE,BPM,NRGY,DNCE,DB,LIVE,VAL,DUR,ACOUS,SPCH,POP
1,We Found Love,Rihanna,barbadian pop,128,77,73,-4,11,60,215,3,4,81
2,Don't You Worry Child - Radio Edit,Swedish House Mafia,dance pop,129,84,61,-3,12,44,213,11,5,80
3,Stay,Zedd,complextro,102,62,69,-5,12,54,210,25,6,80
4,Runaway (U & I),Galantis,dance pop,126,81,51,-4,9,38,227,1,5,79
5,Break Free,Ariana Grande,dance pop,130,70,69,-5,20,28,215,1,5,79
6,Clarity,Zedd,complextro,128,78,51,-3,7,18,271,4,7,79
7,RISE,League of Legends,speedrun,177,66,46,-6,6,41,193,2,10,77
8,Faded,Alan Walker,electro house,90,65,59,-5,11,17,213,3,3,76
9,Heroes (we could be),Alesso,dance pop,126,75,50,-4,34,36,210,3,6,75
10,Ignite,Alan Walker,electro house,90,86,68,-4,19,48,210,2,12,75
11,Beautiful Now,Zedd,complextro,128,83,63,-4,7,56,218,1,3,74
12,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,dance pop,128,79,51,-4,32,64,208,33,4,72
13,Feel Good (feat. Daya),Gryffin,dance pop,138,71,63,-5,21,48,248,22,3,72
14,I Want You To Know,Zedd,complextro,130,85,58,-3,14,37,240,1,6,70
15,Save The World,Swedish House Mafia,dance pop,127,67,51,-8,8,40,213,1,5,69
16,All Falls Down (feat. Juliander),Alan Walker,electro house,98,68,66,-4,36,66,199,30,6,69
17,Shelter,Porter Robinson,complextro,200,80,28,-4,18,26,219,0,6,69
18,Tired,Alan Walker,electro house,124,88,69,-4,15,49,192,4,6,68
19,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,128,74,60,-3,9,46,217,11,4,67
20,Alone,Alan Walker,electro house,97,93,68,-3,12,16,161,19,5,67
21,Darkside,Alan Walker,electro house,170,64,43,-5,12,11,212,16,5,67
22,Walk Thru Fire,Vicetone,edm,116,66,64,-5,38,35,194,33,4,64
23,Spectrum,Zedd,complextro,130,80,61,-4,13,41,243,1,3,64
24,Take Me Home (feat. Bebe Rexha),Cash Cash,dance pop,128,90,57,-2,19,48,206,6,21,63
25,Frame of Mind,Tristam,brostep,175,73,44,-7,11,40,274,4,6,63
26,First Time (feat. Dylan Matthew),Seven Lions,dubstep,150,68,42,-6,16,15,298,25,4,61
27,Rush Over Me,Seven Lions,dubstep,135,75,44,-4,3,25,260,7,4,61
28,What About Us - Cash Cash Remix,P!nk,dance pop,123,80,60,-3,10,22,234,5,5,60
29,Ghosts 'n' Stuff,deadmau5,canadian electronic,128,62,62,-7,25,52,328,0,12,60
30,Ignite - 2016 League Of Legends World Championship,Zedd,complextro,128,74,72,-4,8,39,195,7,3,60
31,Alibi (Far Out Remix),Krewella,dance pop,100,76,60,-5,9,16,220,13,7,58
32,Finest Hour (feat. Abir),Cash Cash,dance pop,96,73,66,-4,13,44,216,8,8,58
33,New World,Krewella,dance pop,163,77,68,-4,8,72,162,3,8,57
34,Alive,Krewella,dance pop,128,83,67,-3,35,57,289,0,5,57
35,In My Mind,ILLENIUM,edm,140,66,34,-4,10,23,300,12,6,56
36,Lay It Down,ILLENIUM,edm,78,54,41,-5,8,12,265,32,3,56
37,All My Love (feat. Conor Maynard),Cash Cash,dance pop,135,87,59,-3,7,30,191,15,9,56
38,I Remember,Tristam,brostep,110,64,56,-9,5,4,237,1,3,55
39,The Veldt - Radio Edit,deadmau5,canadian electronic,128,76,74,-7,8,49,170,6,3,55
40,Live for the Night,Krewella,dance pop,128,84,50,-2,12,53,206,1,11,54
41,New Game,Nitro Fun,complextro,128,99,63,-3,40,52,259,0,8,54
42,Rewind,Krewella,dance pop,167,88,70,-4,9,42,179,5,5,52
43,Overtime,Cash Cash,dance pop,114,88,55,-1,66,29,246,7,30,52
44,Bone Dry,Tristam,brostep,160,86,55,-6,7,32,285,37,27,52
45,Cheat Codes,Nitro Fun,complextro,128,96,63,-4,89,15,212,0,8,51
46,Electric Glow - Original Mix,Tritonal,edm,128,90,56,-5,14,18,414,1,6,50
47,Build The Cities (Empire of Sound),Tristam,brostep,120,79,46,-5,8,6,284,1,7,50
48,Happy Where We Are,Tritonal,edm,71,69,24,-6,6,15,320,8,5,49
49,Only Now (feat. Tyler Graves),Seven Lions,dubstep,150,81,38,-5,12,20,211,1,4,49
50,Surrender,Cash Cash,dance pop,128,89,54,-3,13,30,208,2,7,49
51,Next Life (feat. Krewella),Adventure Club,brostep,142,79,52,-3,13,20,187,2,4,48
52,Heartbeat,Vicetone,edm,128,77,72,-4,46,22,394,4,8,48
53,Vertigo,Rob Gasser,complextro,174,91,50,-4,32,61,228,4,4,48
54,Kinetic,League of Legends,speedrun,128,92,59,-5,48,28,235,0,3,47
55,Let Me Go (with MKLA),Alok,electro house,124,91,74,-3,14,15,149,1,5,46
56,Alarm,Lookas,bass trap,140,85,57,-4,37,35,225,17,3,46
57,End Like This (feat. RUNN) - Arknights Soundtrack,Steve Aoki,dance pop,120,59,51,-6,10,19,200,4,4,45
58,Prism,Summer Was Fun,electro house,93,71,49,-4,13,15,214,6,4,45
59,Start Again (feat. Fiora),Seven Lions,dubstep,150,75,38,-5,22,9,335,12,4,45
60,Break The Silence,Richard Caddock,gaming edm,95,66,61,-6,11,27,273,0,4,45
61,Killing Giants,Puppet,complextro,180,94,40,-5,35,41,242,20,7,45
62,Last Of Me - Arknights Soundtrack,Steve Aoki,dance pop,128,70,65,-5,27,8,182,4,4,44
63,Apollo - Electro Mix,Astronaut,complextro,128,74,61,-4,30,48,263,1,10,44
64,Pressure,Draper,chillstep,140,69,48,-6,14,49,319,2,3,44
65,Ain't That Why,R3HAB,dance pop,140,61,60,-5,17,33,159,39,5,43
66,Concussive,League of Legends,speedrun,75,93,42,-4,13,10,275,0,8,43
67,The Fire,Eden Project,complextro,128,73,44,-6,16,17,389,27,9,43
68,Break Loose,Televisor,complextro,120,79,71,-6,37,77,219,7,11,41
69,Already Dead,Puppet,complextro,113,85,43,-5,6,27,186,1,16,41
70,Before We Fade,Tristam,brostep,85,86,29,-4,15,19,247,9,31,41
71,Far Away,Tristam,brostep,128,79,50,-5,11,11,270,10,18,41
72,The Vine,Tristam,brostep,160,73,35,-6,13,11,240,38,11,40
73,We Are One,Rameses B,chillstep,175,93,57,-6,45,39,213,6,15,40
74,Listen To The Storm,Puppet,complextro,81,39,11,-12,37,4,264,60,5,40
